t,U_x,U_y,U_z,solver,dt
0.0517807,0.3015057,0.2815953,0.2869072,interIsoFoam,0.00039770000000000083
0.0521784,0.2999972,0.2817174,0.2865499,interIsoFoam,0.00039770000000000083
0.0525757,0.2998198,0.2818402,0.2861759,interIsoFoam,0.0003973000000000032
0.0529731,0.2998406,0.2819646,0.2857874,interIsoFoam,0.00039739999999999914
0.0533701,0.2998628,0.2820912,0.2853793,interIsoFoam,0.0003969999999999946
0.0537671,0.2998904,0.2822278,0.2849529,interIsoFoam,0.0003970000000000015
0.0541641,0.299927,0.2823796,0.2845125,interIsoFoam,0.0003970000000000015
0.0545607,0.2999737,0.2825377,0.2840458,interIsoFoam,0.00039659999999999695
0.0549574,0.3000402,0.2827053,0.2835625,interIsoFoam,0.00039669999999999983
0.0553541,0.3001247,0.2828899,0.2830535,interIsoFoam,0.00039670000000000677
0.0557507,0.3002264,0.2830925,0.2825072,interIsoFoam,0.00039659999999999695
0.0561474,0.3003449,0.2833149,0.2819151,interIsoFoam,0.00039669999999999983
0.0565444,0.3004791,0.2835614,0.2812836,interIsoFoam,0.0003970000000000015
0.0569414,0.3006208,0.2838352,0.2805965,interIsoFoam,0.0003970000000000015
0.0573387,0.3007545,0.2839989,0.2799182,interIsoFoam,0.00039729999999999627
0.0577361,0.3008872,0.2842279,0.2791709,interIsoFoam,0.00039739999999999914
0.0581338,0.3010222,0.2845109,0.2783712,interIsoFoam,0.00039770000000000083
0.0585319,0.3011335,0.2849893,0.2774806,interIsoFoam,0.00039809999999999846
0.0589303,0.301222,0.2854104,0.2765732,interIsoFoam,0.00039840000000000014
0.0593295,0.3012926,0.2856739,0.2756726,interIsoFoam,0.00039920000000000233
0.059729,0.3013421,0.2858392,0.2747973,interIsoFoam,0.0003994999999999971
0.0601289,0.301374,0.285903,0.2739403,interIsoFoam,0.00039990000000000164
0.0605288,0.3013902,0.285895,0.2730995,interIsoFoam,0.00039990000000000164
0.0609287,0.3013905,0.2858341,0.2722777,interIsoFoam,0.00039990000000000164
0.0613285,0.3013788,0.2857086,0.271468,interIsoFoam,0.00039979999999999877
0.0617281,0.3013562,0.2855527,0.2706803,interIsoFoam,0.00039959999999999996
0.0621276,0.3013185,0.2853459,0.2698995,interIsoFoam,0.0003994999999999971
0.0625267,0.301271,0.2851378,0.2691351,interIsoFoam,0.0003991000000000064
0.0629259,0.3012139,0.2849105,0.2683629,interIsoFoam,0.00039920000000000233
0.0633247,0.3011441,0.2846732,0.2675883,interIsoFoam,0.00039879999999999083
0.0637235,0.3010665,0.2844257,0.2668097,interIsoFoam,0.0003988000000000047
0.0641219,0.3009829,0.2841689,0.2660297,interIsoFoam,0.0003983999999999932
0.0645199,0.3008893,0.2839049,0.2652456,interIsoFoam,0.00039800000000000946
0.064918,0.3007884,0.2836357,0.2644584,interIsoFoam,0.00039809999999999846
0.0653157,0.3006806,0.2833626,0.2636662,interIsoFoam,0.00039770000000000083
0.065713,0.3005655,0.2830866,0.2628649,interIsoFoam,0.00039729999999998933
0.0661104,0.3004452,0.2828105,0.2620609,interIsoFoam,0.0003974000000000061
0.0665073,0.3003218,0.2825337,0.2612485,interIsoFoam,0.0003969000000000056
0.0669043,0.3001914,0.2822619,0.2604241,interIsoFoam,0.0003969999999999946
0.0673009,0.300058,0.2819907,0.2595938,interIsoFoam,0.00039659999999999695
0.0676975,0.2999221,0.2817242,0.2587519,interIsoFoam,0.00039659999999999695
0.0680938,0.2997816,0.2814605,0.2579023,interIsoFoam,0.0003963000000000022
0.06849,0.2996367,0.2812018,0.2570439,interIsoFoam,0.00039619999999999933
0.0688859,0.2994893,0.2809476,0.2561756,interIsoFoam,0.0003959000000000046
0.0692818,0.2993357,0.2806999,0.2553,interIsoFoam,0.0003959000000000046
0.0696773,0.2992971,0.280457,0.2544127,interIsoFoam,0.0003954999999999931
0.0700728,0.2993945,0.280219,0.2535082,interIsoFoam,0.00039550000000000696
0.070468,0.2994772,0.2799875,0.2525888,interIsoFoam,0.00039519999999999833
0.0708631,0.2995483,0.2797659,0.2516659,interIsoFoam,0.00039509999999999545
0.0712579,0.2996082,0.2795471,0.2507305,interIsoFoam,0.0003948000000000007
0.0716527,0.2996581,0.2793367,0.24978,interIsoFoam,0.0003948000000000007
0.0720471,0.2997021,0.2791299,0.2488148,interIsoFoam,0.0003944000000000031
0.0724416,0.2997383,0.2789278,0.2478449,interIsoFoam,0.0003944999999999921
0.0728356,0.2997628,0.2787279,0.2477942,interIsoFoam,0.00039400000000000546
0.0732297,0.2997818,0.27853,0.2480369,interIsoFoam,0.00039409999999999445
0.0736238,0.2997967,0.2783339,0.2482826,interIsoFoam,0.00039410000000000833
0.0740175,0.2998074,0.2781376,0.2485291,interIsoFoam,0.00039369999999999683
0.0744111,0.2998159,0.2779415,0.2487788,interIsoFoam,0.00039359999999999395
0.0748045,0.2998221,0.277747,0.2490286,interIsoFoam,0.0003934000000000021
0.0751978,0.2998251,0.2775541,0.2492822,interIsoFoam,0.0003932999999999992
0.0755912,0.2998269,0.2773631,0.2495409,interIsoFoam,0.0003934000000000021
0.0759841,0.2997275,0.2771727,0.2498003,interIsoFoam,0.0003929000000000016
0.0763771,0.2994328,0.276985,0.2500669,interIsoFoam,0.00039300000000000446
0.0767697,0.2983799,0.2767994,0.2503354,interIsoFoam,0.00039259999999999295
0.0771623,0.2970334,0.2766168,0.2506063,interIsoFoam,0.00039260000000000683
0.0775546,0.2970234,0.2764353,0.2508838,interIsoFoam,0.0003922999999999982
0.0779468,0.2970102,0.2762609,0.2511659,interIsoFoam,0.00039219999999999533
0.078339,0.2969971,0.2760922,0.2514557,interIsoFoam,0.0003922000000000092
0.0787309,0.2969802,0.2759235,0.2517481,interIsoFoam,0.0003919000000000006
0.0791228,0.2969541,0.2757369,0.2520194,interIsoFoam,0.0003918999999999867
0.0795143,0.2969268,0.275562,0.2522981,interIsoFoam,0.00039150000000000296
0.0799058,0.2968976,0.2753993,0.2525841,interIsoFoam,0.00039150000000000296
0.0802973,0.2968679,0.275247,0.2528771,interIsoFoam,0.00039150000000000296
0.0806885,0.2968334,0.2751029,0.2531713,interIsoFoam,0.00039119999999999433
0.0810796,0.2967955,0.2749652,0.2534627,interIsoFoam,0.00039110000000000533
0.0814708,0.2967538,0.2748322,0.2537483,interIsoFoam,0.00039119999999999433
